power,run_time,nodes_used,processors_used,wallclock_used,cpu_used,mem_used,app_name
220.65368567454797,7195.0,1,1,7195,84390,0,vasp
232.1818181818182,12051.0,1,1,12051,18622,0,vasp
224.77623762376237,5110.0,1,1,5110,33812,0,vasp
203.6,208.0,1,1,208,4490,3145728,vasp
83.55,45.0,4,16,45,0,0,ls-dyna
494.0,6191.0,1,24,6191,55733,0,gaussian
0.0,6939.0,1,1,6939,78497,0,vasp
0.0,6894.0,1,1,6894,76730,0,vasp
221.17857142857142,563.0,1,1,563,12732,2097152,vasp
314.6666666666667,243.0,1,1,243,144,392192,python
221.89583333333334,966.0,1,1,966,21161,0,vasp
199.05882352941177,171.0,1,1,171,4329,2097152,vasp
453.1691530317613,42037.0,1,1,42037,65637,0,vasp
198.39583333333334,967.0,1,24,967,21947,0,vasp
165.60759493670886,794.0,1,16,794,9159,0,python
226.5909090909091,672.0,1,1,672,14685,0,vasp
86.91919191919192,10954.0,1,1,10954,822,0,mono
0.0,0.0,1,1,0,14,0,mfix
210.44347826086957,1163.0,1,1,1163,24826,0,vasp
0.0,599.0,1,24,599,12646,0,vasp
194.75,2108.0,4,64,2108,33179,0,vasp
204.10996471220585,428364.0,2,48,82764,60800,0,amber
267.02097902097904,7193.0,1,1,7193,85003,0,vasp
99.125,36.0,2,48,36,457,0,vasp
189.53846153846155,138.0,2,32,138,72,0,OpenFOAM
277.03941836019624,57732.0,1,1,57732,22,0,vasp
327.3641666666667,1513.0,8,128,1513,23598,0,charmm
0.0,14499.0,1,16,14499,35081,0,vasp
146.8369304556355,4175.0,1,16,4175,43094,3145728,python
450.45867319195213,48449.0,2,32,48449,24278,5242880,gamess
118.1896551724138,580.0,2,2,580,1964,0,vasp
258.9873417721519,7947.0,2,2,7947,9467,0,vasp
176.24304068522483,4688.0,2,32,4688,61058,0,vasp
228.06730769230768,4198.0,1,24,4198,11505,0,vasp
198.07967899111495,11642.0,3,48,11642,37276,0,vasp
223.10265700483092,41628.0,4,96,41628,39746,0,vasp
96.42857142857143,280.0,1,16,280,91,0,vasp
291.75,81.0,1,1,81,0,0,vasp
0.0,2908.0,1,24,2908,300,0,vasp
0.0,79.0,1,1,79,2,0,vasp
197.5148514851485,1029.0,1,1,1029,19000,0,vasp
236.24599068804966,39099.0,1,1,39099,69516,0,vasp
196.46280991735537,1218.0,1,24,1218,27680,0,vasp
0.0,57804.0,1,24,57804,82504,0,vasp
389.5135135135135,378.0,1,16,378,4157,0,vasp
207.7111111111111,455.0,1,1,455,9838,0,vasp
240.7945205479452,2944.0,1,1,2944,69559,0,vasp
102.75,44.0,1,24,44,124,0,vasp
283.3041158536585,13256.0,1,16,13256,191,0,vasp
164.74021944419462,222780.0,1,16,49980,2699,3145728,amber
96.86524822695036,7092.0,1,1,7092,232,0,mono
220.20369144181427,60741.0,4,96,60741,47190,0,vasp
271.4520123839009,3238.0,1,1,3238,79773,3145728,vasp
200.03894297635605,14457.0,1,16,14457,56848,0,vasp
194.68800931315482,2879.0,3,48,2879,52969,7340032,vasp
144.1747713047665,20868.0,1,16,20868,18476,275456,amber
187.02941176470588,338.0,2,48,338,14236,0,vasp
100.11764705882354,170.0,1,24,170,51,0,vasp
202.3231707317073,6568.0,1,24,6568,69562,2097152,amber
0.0,113.0,1,16,113,0,0,vasp
344.0684909326425,124173.0,1,1,37773,4067,0,mono
414.7672943889316,26162.0,2,32,26162,65421,0,vasp
205.09993358197516,391871.0,2,48,46271,37547,0,amber
209.86486486486487,369.0,1,1,369,8988,11534336,vasp
120.27272727272727,106.0,1,24,106,788,0,vasp
228.3608017817372,4512.0,1,1,4512,17711,0,mono
92.32620320855615,1879.0,1,16,1879,2,0,python
119.50813148788927,174331.0,1,1,1531,31474,0,mono
190.75,317.0,1,24,317,6491,0,vasp
211.90983606557376,2470.0,1,24,2470,55637,0,vasp
0.0,8623.0,1,24,8623,72,0,vasp
167.4380375293198,12866.0,4,96,12866,2475,0,vasp
138.00886310704735,466000.0,1,1,34000,29845,30408704,mono
0.0,1565.0,1,1,1565,23813,0,vasp
0.0,6881.0,1,1,6881,15201,0,mono
174.53301886792454,2131.0,2,2,2131,31888,0,fluent
209.78305135499326,54106.0,6,121,54106,40780,0,fluent
220.8372222222222,4547.0,4,96,4547,76465,0,vasp
124.3213245439215,131181.0,2,16,44781,11054,0,vasp
99.0,48.0,1,16,48,20,0,vasp
0.0,80685.0,1,1,80685,15483,0,mono
0.0,36590.0,1,24,36590,9788,0,vasp
310.4436137071651,5360.0,3,48,5360,82432,7340032,vasp
199.72331713462924,111711.0,6,96,25311,72900,0,vasp
96.79166666666667,163.0,3,3,163,27,0,vasp
125.4,54.0,1,24,54,396,0,vasp
102.16475095785441,2619.0,1,1,2619,1277,7340032,python
472.40625,642.0,1,1,642,15023,10485760,vasp
105.31387626703949,28759.0,1,1,28759,17,0,vasp
222.51923076923077,513.0,1,24,513,11349,1048576,python
257.1818181818182,656.0,1,1,656,9681,0,wrf
170.78787878787878,986.0,4,64,986,14819,0,vasp
0.0,2758.0,1,24,2758,63787,0,vasp
211.3445997458704,90360.0,1,24,3960,2654,15728640,vasp
239.31140350877192,3802.0,3,72,3802,334,5242880,python
229.54166666666666,493.0,1,1,493,10202,0,vasp
221.4555765595463,5337.0,1,24,5337,34839,0,vasp
231.19542438002097,57576.0,1,1,57576,82191,5242880,vasp
0.0,27869.0,1,24,27869,143,0,vasp
0.0,2927.0,1,16,2927,13601,0,vasp
0.0,1663.0,1,24,1663,127,0,vasp
106.5,967.0,1,16,967,2055,0,python
